name,address,directions,rating,total_ratings
"#57 – Athens, AL","2328 Lindsay Lane South Athens, AL 35613",https://www.google.com/maps/search/2328 Lindsay Lane South+Athens+AL+35613,4.4,57.0
"#43 – Leeds, AL","6900 Buc-ee’s Blvd. Leeds, Alabama 35094",https://www.google.com/maps/search/6900 Buc-ee’s Blvd.+Leeds+Alabama+35094,4.4,1270.0
"#42 – Loxley, AL","20403 County Rd. 68 Robertsdale, Alabama 36567",https://www.google.com/maps/search/20403 County Rd. 68+Robertsdale+Alabama+36567,4.0,2050.0
"#47 – Daytona Beach, FL","2330 Gateway North Drive Daytona Beach, FL 32117",https://www.google.com/maps/search/2330 Gateway North Drive+Daytona Beach+FL+32117,4.4,1596.0
"#46 – Saint Augustine, FL","200 World Commerce Pkwy Saint Augustine, Florida 32092",https://www.google.com/maps/search/200 World Commerce Pkwy+Saint Augustine+Florida+32092,4.4,1198.0
"#52 – Calhoun, GA","601 Union Grove Rd. SE Adairsville, GA 30103",https://www.google.com/maps/search/601 Union Grove Rd. SE+Adairsville+GA+30103,4.3,1255.0
"#51 – Warner Robins, GA","7001 Russell Parkway Fort Valley, Georgia 31030",https://www.google.com/maps/search/7001 Russell Parkway+Fort Valley+Georgia+31030,4.3,1911.0
"#55 – Richmond, KY","1013 Buc-ee's Boulevard Richmond, Kentucky 40475",https://www.google.com/maps/search/1013 Buc-ee's Boulevard+Richmond+Kentucky+40475,4.4,940.0
"#53 – Florence, SC","3390 North Williston Road Florence, South Carolina 29506",https://www.google.com/maps/search/3390 North Williston Road+Florence+South Carolina+29506,4.3,1178.0
"#50 Crossville, TN","2045 Genesis Road Crossville, Tennessee 38555",https://www.google.com/maps/search/2045 Genesis Road+Crossville+Tennessee+38555,4.3,742.0
"#14 – Alvin, TX","780 Hwy-35 N Byp Alvin, Texas 77511",https://www.google.com/maps/search/780 Hwy-35 N Byp+Alvin+Texas+77511,3.9,58.0
"#13 – Angleton, TX","2299 E Mulberry St Angleton, Texas 77515",https://www.google.com/maps/search/2299 E Mulberry St+Angleton+Texas+77515,3.8,29.0
"#21 – Angleton, TX","931 Loop 274 Angleton, Texas 77515",https://www.google.com/maps/search/931 Loop 274+Angleton+Texas+77515,4.1,46.0
"#25 – Angleton, TX","2304 W Mulberry St Angleton, Texas 77515",https://www.google.com/maps/search/2304 W Mulberry St+Angleton+Texas+77515,3.9,120.0
"#28 – Bastrop, TX","1700 Highway 71 East Bastrop, Texas 78602",https://www.google.com/maps/search/1700 Highway 71 East+Bastrop+Texas+78602,4.2,835.0
"#34 – Baytown, TX","4080 East Freeway Baytown, Texas 77521",https://www.google.com/maps/search/4080 East Freeway+Baytown+Texas+77521,4.2,1722.0
"#3 – Brazoria, TX","801 N Brooks Brazoria, Texas 77422",https://www.google.com/maps/search/801 N Brooks+Brazoria+Texas+77422,4.0,57.0
"#32 – Cypress, TX","27106 US-290 Cypress, Texas 77433",https://www.google.com/maps/search/27106 US-290+Cypress+Texas+77433,4.1,446.0
"#39 – Denton, TX","2800 S Interstate 35 E Denton, Texas 76210",https://www.google.com/maps/search/2800 S Interstate 35 E+Denton+Texas+76210,4.3,1204.0
"#24 – Eagle Lake, TX","505 E Main St Eagle Lake, Texas 77434",https://www.google.com/maps/search/505 E Main St+Eagle Lake+Texas+77434,3.7,83.0
"#48 – Ennis, TX","1402 South IH- 45 Ennis, Texas 75119",https://www.google.com/maps/search/1402 South IH- 45+Ennis+Texas+75119,4.6,25.0
"#37 – Fort Worth, TX","15901 N Freeway Fort Worth, Texas 76177",https://www.google.com/maps/search/15901 N Freeway+Fort Worth+Texas+76177,4.3,1338.0
"#7 – Freeport, TX","4231 E. Hwy 332 Freeport, Texas 77541",https://www.google.com/maps/search/4231 E. Hwy 332+Freeport+Texas+77541,3.4,129.0
"#8 – Freeport, TX","1002 N Brazosport Blvd. Freeport, Texas 77541",https://www.google.com/maps/search/1002 N Brazosport Blvd.+Freeport+Texas+77541,4.1,34.0
"#16 – Giddings, TX","2375 E Austin St Giddings, Texas 78942",https://www.google.com/maps/search/2375 E Austin St+Giddings+Texas+78942,3.8,227.0
"#40 – Katy, TX","27700 Katy Fwy Katy, Texas 77494",https://www.google.com/maps/search/27700 Katy Fwy+Katy+Texas+77494,4.1,1262.0
"#1 – Lake Jackson, TX","899 Oyster Creek Drive Lake Jackson, Texas 77566",https://www.google.com/maps/search/899 Oyster Creek Drive+Lake Jackson+Texas+77566,3.6,35.0
"#2 – Lake Jackson, TX","101 N Hwy 2004 Lake Jackson, Texas 77566",https://www.google.com/maps/search/101 N Hwy 2004+Lake Jackson+Texas+77566,3.8,35.0
"#29 – Lake Jackson, TX","598 Hwy 332 Lake Jackson, Texas 77566",https://www.google.com/maps/search/598 Hwy 332+Lake Jackson+Texas+77566,3.6,162.0
"#23 – League City, TX","1702 League City Pkwy League City, Texas 77573",https://www.google.com/maps/search/1702 League City Pkwy+League City+Texas+77573,4.1,136.0
"#17 – Luling, TX","10070 West IH 10 Luling, Texas 78658",https://www.google.com/maps/search/10070 West IH 10+Luling+Texas+78658,4.1,1137.0
"#26 – Madisonville, TX","205 IH-45 South Madisonville, Texas 77864",https://www.google.com/maps/search/205 IH-45 South+Madisonville+Texas+77864,4.1,1448.0
"#44 – Melissa, TX","1550 Central Texas Expressway Melissa, Texas 75454",https://www.google.com/maps/search/1550 Central Texas Expressway+Melissa+Texas+75454,4.7,4753.0
"#22 – New Braunfels, TX","2760 IH 35 North New Braunfels, Texas 78130",https://www.google.com/maps/search/2760 IH 35 North+New Braunfels+Texas+78130,4.4,2115.0
"#19 – Pearland, TX","2541 S Main St Pearland, Texas 77584",https://www.google.com/maps/search/2541 S Main St+Pearland+Texas+77584,3.9,63.0
"#20 – Pearland, TX","11151 Shadow Creek Pky Pearland, Texas 77584",https://www.google.com/maps/search/11151 Shadow Creek Pky+Pearland+Texas+77584,4.5,1122.0
"#12 – Port Lavaca, TX","2318 W Main Port Lavaca, Texas 77979",https://www.google.com/maps/search/2318 W Main+Port Lavaca+Texas+77979,3.8,158.0
"#31 – Richmond, TX","1243 Crabb River Rd Richmond, Texas 77469",https://www.google.com/maps/search/1243 Crabb River Rd+Richmond+Texas+77469,3.7,230.0
"#38 – Royse City, TX","5005 E Interstate 30 Royse City, Texas 75189",https://www.google.com/maps/search/5005 E Interstate 30+Royse City+Texas+75189,4.2,667.0
"#35 – Temple, TX","4155 N General Bruce Dr. Temple, Texas 76501",https://www.google.com/maps/search/4155 N General Bruce Dr.+Temple+Texas+76501,4.2,2097.0
"#36 – Terrell, TX","506 W. IH 20 Terrell, Texas 75160",https://www.google.com/maps/search/506 W. IH 20+Terrell+Texas+75160,4.3,1412.0
"#33 – Texas City, TX","6201 Gulf Fwy (IH 45) Texas City, Texas 77591",https://www.google.com/maps/search/6201 Gulf Fwy (IH 45)+Texas City+Texas+77591,4.4,781.0
"#18 – Waller, TX","40900 US Hwy 290 Bypass Waller, Texas 77484",https://www.google.com/maps/search/40900 US Hwy 290 Bypass+Waller+Texas+77484,4.2,808.0
